AFG  = afghanistan
moo = my own opinion
moos = member of the opposite sex
mos = mother over shoulder
moss = member of same sex
mp = mana points
mr.(number) = mr.3 would be a 3-year old son
mrt = modified retweet
mrw = my reaction when
msg = message
mtf = more to follow
mtfbwu = may the force be with you
mu = miss you
muah = multiple unsuccessful attempts at humor
musm = miss you so much
mwah = kiss
myo = mind your own
myob = mind your own business
n00b = newbie
n1 = nice one
n2m = nothing too much
nadt = not a darn thing
nalopkt = not a lot of people know that
nana = not now (,) no need
n/a = not applicable
nbd = no big deal
nbfab = no bad for a beginner
nc = nice crib
nd = nice double
ne = any
ne1 = anyone
nerf = changed and is now weaker
nfm = none for me
nfm = not for me
nfm = not for me
ngl = not gonna lie
nfs = need for speed
nfs = not for sale
nfw = no freaking way
nfw = not for work
nfws = not for work safe
nh = nice hand
nifoc = naked in front of computer
nigi = now i get it
nimby = not in my back yard
nirok = not in reach of keyboard
nlt = no later than
nm = nothing much
nm = never mind
nm = nice meld
nmh = not much here
nmjc = nothing much (,) just chilling
nmu = not much (,) you ("?")
no1 = no one
noob = bad at games
nowl = knowledge
noyb = none of your business
np = no problem
npc = non-playing character
nqt = newly qualified teacher
nr = nice roll
nrn = no response necessary
nrn = no reply necessary
ns = nice score
ns = nice split
nsa = no strings attached
nsfl = not safe for life
nsfw = not safe for work
nsisr = not sure if spelled right
nt = nice try
nthing = nothing
nvm = never mind
nvr = never
nw = no way
nwo = no way out
o4u = only for you
o = opponent
o = hugs
o = over
oa = online auctions
oatus = on a totally unrelated subject
ob = oh baby
ob = oh brother
obv = obviously
ofc = of course
og = original gangster
ogim = oh god (,) it’s monday
oh = overheard
ohhemmgee = oh my god
oi = operator indisposed
oib = oh (,) i’m back
oic = oh (,) i see
oj = only joking
ol = old lady
oll = online love
om = old man
omaa = oh (,) my aching ass
omdb = over my dead body
omfg = oh my freaking god
omfglmaobbqroflcopteriss = oh my freaking god (,) laugh my ass off (,) owned (,) roll on floor spinning around i’m so sad
omg = oh my god
omg = oh my gosh
om = oh (,) my
omgyg2bk = oh my god (,) you got to be kidding
omgys = oh my gosh you suck
oms = on my soul
omw = on my way
onl = online
oo = over and out
ooc = out of character
ooh = out of here
oomf = one of my followers
ootd = one of these days
ootd = outfit of the day
ooto = out of the office
op = on phone
orly = oh really ("?")
os = operating system
ot = off topic
otb = off to bed
otfl = on the floor laughing
otl = out to lunch
otoh = on the other hand
otp = on the phone
otp = one true pairing; two people you would love to see as a couple
ott = over the top
ottomh = off the top of my head
otw = off to work
ova = over
oyo = on your own
p = partner
p2p = parent to parent
p2p = peer to peer
p2p = pay to play
p911 = parents coming into room alert
pap = post a picture
pat = patrol
paw = parents are watching
pbook = phonebook
pc = player character
pcm = please call me
pda = personal display of affection
pdh = pretty darn happy
pds = please don’t shoot
pdq = pretty darn quick
ppl = people
pft = pretty freaking tight
pic = picture
pics = pictures
pip = peeing in pants
pir = parents in room
piss = put in some sugar
pita = pain in the ass
pkmn = pokemon
pl8 = plate
pld = played
plmk = please let me know
pls = please
plu = people like us
plz = please
plztlme = please tell me
pm = private message
pmfi = pardon me for interrupting
pmfji = pardon me for jumping in
pmsl = pee myself laughing
poahf = put on a happy face
poidh = picture (,) or it didn’t happen
pos = parent over shoulder
pot = potion
potd = photo of the day
pov = point of view
pov = privately owned vehicle
ppl = people
ppu = pending pick-up
presh = precious
probs = probably
prolly = probably
proggy = computer program
porn = pornography
prt = party
prt = please retweet
prw = people are watching
prw = parents are watching
psa = public service announcement
psos = parent standing over shoulder
psp = playstation portable
pst = please send tell
ptfo = pass the freak out
ptiypasi = put that in your pipe and smoke it
ptl = praise the lord
ptmm = please tell me more
pto = paid time off
pto = personal time off
pto = parent teacher organization
pug = pick up group
pve = player vs enemy (,) player versus environment
pvp = player versus player
pwn = own
pxt = please explain that
pu = that stinks "!"
puks = pick up kids
pyt = pretty young thing
pz = peace
pza = pizza
q = queue
Q4U = i have a question for you
qc = quality control
qfe = question for everyone
qfi = quoted for idiocy
qfi = quoted for irony
qft = quoted for truth
qik = quick
ql = quit laughing
qotd = quote of the day
qq = crying eyes
qq = crying eyes
q_q = crying eyes
qq = quick question
qsl = reply
qso = conversation
qt = cutie
qtpi = cutie pie
r = are
r8 = rate
rbay = right back at you
rfn = right freaking now
Rgr = i agree
rhip = rank has its privileges
rip = rest in peace
rl = real life
rly = really
rme = rolling my eyes
rmlb = read my lips baby
rmmm = read my mail man
rofl = rolling on floor laughing
roflcopter = rolling on floor laughing and spinning around
roflmao = rolling on the floor (,) laughing my ass off
rotfl = rolling on the floor laughing
rotfluts = rolling on the floor laughing unable to speak
rs = runescape
rsn = real soon now
rt = roger that
rt = retweet
rtbs = reason to be single
rtfm = read the freaking manual
rtfq = read the freaking question
rthx = thanks for the rt
rtms = read the manual (,) stupid
rtntn = retention
rtrctv = retroactive
rtrmt = retirement
rtsm = read the stupid manual
rtwfq = read the whole freaking question
ru = are you ("?")
rumof = are you male or female ("?")
rut = are you there ("?")
ruok = are you okay ("?")
rx = regards
rw = real world
rx = drugs
rx = prescriptions
ryo = roll your own
rys = read your screen
rys = are you single ("?")
s2r = send to receive
s2s = sorry to say
s4l = spam for life
sal = such a laugh
sat = sorry about that
savage = shockingly careless expression or response to an event or message
sb = snap back
sb = snap back
sb = should be
sb = smiling back
sbia = standing back in amazement
sbt = sorry ’bout that
sc = stay cool
sd = sweet dreams
sdmb = sweet dreams (,) my baby
senpai = someone older than you
seo = search engine optimization
sete = smiling ear-to-ear
selfie = a photo that is taken of oneself for social media sharing
sfaik = so far as i know
sh = same here
sh^ = shut up
shid = slapping head in disgust
ship = wishing two people were in a relationship
sicnr = sorry (,) i could not resist
sicnr = sorry (,) i could'nt resist
sig2r = sorry (,) i got to run
sihth = stupidity is hard to take
simyc = sorry i missed your call
sir = strike it rich
sis = snickering in silence
sis = sister
sit = stay in touch
sitd = still in the dark
sjw = social justice warrior
sk8 = skate
sk8ng = skating
sk8r = skater
sk8rboi = skater boy
slap = sounds like a plan
slay = to succeed at something
sm = social media
smazed = smoky haze
smexi = sexy mexican
smh = shaking my head
smhid = scratching my head in disbelief
snafu = situation normal all fouled up
snert = snot nosed egotistical rude teenager
snr = streaks and recents
so = significant other
soab = son of a bitch
s’ok = it’s okay
sol = sooner or later
somy = sick of me yet ("?")
sorg = straight or gay ("?")
Sos = i need help
sos = son of sam
sot = short of time
sotmg = short of time (,) must go
sowm = someone with me
spk = speak
srsly = seriously
spst = same place (,) same time
spto = spoke to
sq = square
sry = sorry
ss = so sorry
ssdd = same stuff (,) different day
ssif = so stupid it’s funny
ssinf = so stupid it’s not funny
st&d = stop texting and drive
stan = fan of someone
stfu = shut the freak up
str8 = straight
stw = search the web
su = shut up
suitm = see you in the morning
sul = see you later
sup = what’s up ("?")
suth = so used to haters
suyf = shut up you fool
swag = free stuff and giveaways from tech tradeshows
swag = scientific wild ass guess
swak = sent with a kiss
swalk = sealed with a loving kiss
swat = scientific wild butt guess
swl = screaming with laughter
swmbo = she who must be obeyed
syl = see you later
sys = see you soon
sux = it sucks
syy = shut your yapper
t+ = think positive
t4bu = thanks for being you
t:)t = think happy thoughts
ta = thanks a lot
tafn = that’s all for now
tam = tomorro a.m.
tank = really strong
tanked = owned
tanking = owning
tarfu = things are really fouled up
tau = thinking about you
taumualu = thinking about you miss you always love you
tba = to be announced
tbag = process of disgracing a corpse (,) taunting a fragged/killed player
tbbh = to be brutally honest
tbc = to be continued
tbd = to be determined
tbh = to be honest
tbl = text back later
tbt = throwback thursday
tc = take care
tcb = take care of business
tcoy = take care of yourself
td = tower defense
td2m = talk dirty to me
tdtm = talk dirty to me
tea = gossip
tff = too freaking funny
tfs = thanks for sharing
tftf = thanks for the follow
tfti = thanks for the invitation
tftt = thanks for this tweet
tg = thank goodness
tgif = thank god it’s friday
thnq = thank-you
thnx = thanks
thot = that whore over there
tht = think happy thoughts
thx = thanks
tia = thanks in advance
tiad = tomorrow is another day
tic = tongue-in-cheek
til = today i learned
tilis = tell it like it is
tir = teacher in room
tlk2ul8r = talk to you later
tl = too long
tl;dr = too long; didn’t read
tm = trust me
tma = take my advice
tmb = text me back
tmb = tweet me back
tmi = too much information
tmot = trust me on this
tmth = too much to handle
tmyl = tell me your location
tmwfi = take my word for it
tnstaafl = there’s no such thing as a free lunch
tnt = til next time
toj = tears of joy
tos = terms of service
totes = totally
tou = thinking of you
toy = thinking of you
tpm = tomorrow p.m.
tptb = the powers that be
tsh = tripping so hard
tsnf = that’s so not fair
tstb = the sooner (,) the better
tt = trending topic
ttfn = ta ta for now
ttly = totally
tttt = these things take time
ttul = talk to you later
tu = thank you
tui = turning you in
turnt = excitement
twss = that’s what she said
ttg = time to go
ttyafn = talk to you awhile from now
ttyl = talk to you later
ttys = talk to you soon
ty = thank you
tyfc = thank you for charity
tyfyc = thank you for your comment
tys = told you so
tyt = take your time
tyso = thank you so much
tyafy = thank you and freak you
tyvm = thank you very much
tx = thanks
u = you
^urs = up yours
ucmu = you crack me up
udi = unidentified drinking injury
udm = you the man
uds = ugly domestic scene
ufb = un freaking believable
ufn = until further notice
ufwm = you freaking with me ("?")
ugtbk = you’ve got to be kidding
uhgtbsm = you have got to be s#$t*ing me "!"
uktr = you know that’s right
ul = upload
u-l = you will
una = use no acronyms
un4tun8 = unfortunate
unblefble = unbelievable
uncrtn = uncertain
unpc = not politically correct
up2u = up to you
uok = are you ok ("?")
ur = you are
ur = you’re
ur2ys4me = you are too wise for me
ura* = you are a star
urh = you are hot
ursktm = you are so kind to me
urtm = you are the man
urw = you are welcome
usbca = until something better comes along
usu = usually
ut = unreal tournament
ut2l = you take too long
utm = you tell me
uv = unpleasant visual
uw = you’re welcome
ux = user experience
vry = very
v = very
veggie = vegetarian
vat = value added tax
vbl = visible bra line
vbs = very big smile
vc = voice chat
veg = very evil grin
vff = very freaking funny
vfm = value for money
vgc = very good condition
vgg = very good game
vgh = very good hand
vip = very important person
vm = voice mail
vn = very nice
vnh = very nice hand
voip = voice over internet protocol
vsc = very soft chuckle
vsf = very sad face
vwd = very well done
vwp = very well played
w@? = what "?"
w@ = what
w/ = with
w/b = welcome back
w3 = www
w8 = wait
wah = working at home
waj = what a jerk
wam = wait a minute
wan2 = want to ("?")
wan2tlk = want to talk
warez = pirated software
was = wait a second
was = wild ass guess
wat = what
wawa = where are we at ("?")
wayf = where are you from ("?")
w/b = write back
wb = welcome back
wbs = write back soon
wbu = what about you ("?")
wc = welcome
wc = who cares
wca = who cares anyway
w/e = whatever
w/end = weekend
we = whatever
webo = webopedia
weebo = obsessed with of japanese culture
wep = weapon
whateves = whatever
wibni = wouldn’t it be nice if
wdalyic = who died and left you in charge
wdyk = what do you know ("?")
wdyt = what do you think ("?")
wfm = works for me
wgaca = what do you think ("?")
wiifm = what’s in it for me ("?")
wisp = winning is so pleasurable
witp = what is the point ("?")
witw = what in the world
wiu = wrap it up
wk = week
wkd = weekend
wrt = with regard to
wl = whatta loser
w/o = without
woa = work of art
woke = people who are aware of current social issues (,) and politics
wombat = waste of money (,) brains and time
wrk = work
wru = where are you ("?")
wru@ = where are you at ("?")
wrud = what are you doing ("?")
wtb = want to buy
wtf = what the freak ("?")
wtf = what the fuck ("?")
wtfe = what the freak ever
wtfo = what the freak ("?") (,) over.
wtg = way to go
wtgp = want to go private
wth = what the heck ("?")
wtm = who’s the man ("?")
wts = want to sell ("?")
wtt = want to trade ("?")
wu = what’s up ("?")
wuciwug = what you see is what you get
wuf = where are you from ("?")
wup = what’s up ("?")
wuw = what you want ("?")
wuu2 = what are you up to ("?")
wuz = was
wwjd = what would jesus do ("?")
wwjd = what would judd do ("?")
wwnc = will wonders never cease
wwyc = write when you can
wycm = will you call me ("?")
wyd = what are you doing ("?")
wygam = when you get a minute
wyham = when you have a minute
wylei = when you least expect it
wysiwyg = what you see is what you get
wywh = wish you were here
x-1-10 = exciting
x = kiss
x! = a typical woman
xd = really hard laugh
xd = devilish smile
xme = excuse me
xoxoxo = hugs & kisses
xlnt = excellent
xlr8 = faster
xlr8 = going faster
xpost = cross-post
xyl = ex-young lady
xyl = wife
xyz = examine your zipper
y? = why "?"
y = why
y = yawn
y2k = you’re too kind
ya = your
yaa = yet another acronym
yaba = yet another bloody acronym
yarly = ya (,) really ("?")
yas = praise
ybic = your brother in christ
ybs = you’ll be sorry
ycdbwycid = you can’t do business when your computer is down
ycht = you can have them
ycliu = you can look it up
ycmu = you crack me up
yct = your comment to
yd = yesterday
yeet = excitement
yf = wife
yg = young gentleman
ygg = you go girl
ygtbkm = you’ve got to be kidding me
ygtr = you got that right
yhbt = you have been trolled
yhbw = you have been warned
yhl = you have lost
yiu = yes (,) i understand
ykw = you know what
ykwycd = you know what you can do
yl = young lady
ymmv = your mileage may vary
ynk = you never know
yolo = you only live once
yr = your
yr = yeah right
yryocc = you’re running your own cuckoo clock
ysic = your sister in christ
ysyd = yeah sure you do
yt = youtube
yt = you there ("?")
ytb = you’re the best
ytb = youth talk back
yttl = you take too long
ytg = you’re the greatest
yw = you’re welcome
ywhnb = yes (,) we have no bananas
ywhol = yelling “woohoo” out loud
ywsyls = you win some (,) you lose some
z = zero
z = z’s are calling
z = said
z% = zoo
zh = sleeping hour
zomg = oh my god
zot = zero tolerance
zup = what’s up "?"
zup = what’s up
zzzz = sleeping
zzzz = bored
