day	دن
zoometry	حیوان پیمائ
zoom	سیدھا اوپر چڑھنا
guide line	رہ نما خت
fast food	فاسٹ فوڈ
shot	کار توس
shot	گولی
shortness	تنگی
banded	پٹی دار
aforesaid	سبقہ
afoot	پیدل
aflame	دمکتا
aflame	شعلہ زن
aflame	درخشن
afloat	تیرتا
afoot	چلتا
Tibet	تبت
angel	فرشتہ
Venice	وینس
Cho Oyu	چو اویو
poem	نظم
poem	کوتا
remission	گھٹاؤ
remiss	سست
reminiscence	یاد آوری
reminiscence	یاد
reminder	یاد دہانی
reminder	تاکید
remiss	پھیکا
remiss	ڈھیلا
remise	ہتھیار ڈالنا
remise	گاڑی خانہ
colleague	سھاتھی
kidney bean	لوبا
parade	جلوس
desert	صحرا
desert	بیابان
desensitise	اذالہ حسسیت کرنا
description	تعریف
desert	انعام
desert	چھوڑنا
desert	چھوڑ دینا
desert	بنجر
desert	ترک کرنا
Bahawalnagar	بہاولنگر
concern	تاسف
concern	تعلق
concern	پرواہ
concern	مطلب
concern	متعلقہ
concern	فریق
concern for	دیکھ بھال کرنا
concern	واسطہ
concerning	بابت
concerning	بارے
unskilled	اناڑی
unsettled	ڈانواں ڈول
unsettling	پریشان کن
crocodile	نہنگ
pampered	لاڈلا
pampered	بگڑا ہوا
pamphlet	رسالہ
pamphlet	کتاب چہ
paltry	گندا
paltry	چھوٹا
pamper	لاڈ کرنا
paltry	خسیس
pan	تسلا
pan	لگن
herpetology	زاحفیات
miserly	کنجوس
rapidity	تیز رفتاری
rapids	تیز دھارا
rapine	غارت گری
rapine	لوٹ
rapine	لوٹ مار
rapine	تا راجی
rapport	ہمدردی
rapport	رشتہ
rapport	تعلق
rapprochement	مصلحت
Pakistan Television Corporation	پاکستان ٹیلی وژن نیٹ ورک
news	خبر
news	سماچار
newscast	خبر
newscast	سماچار
skeet	خبر
skeet	سماچار
loss	ضرر
loss	ذک
lost	فق
loss	زیاں
lost	گم گشتہ
lost	گم
lost	مجذوب
lost	گمراہ
lost	ضائع
lost	ساقط
muscle	عضلہ
ante	لگایا گیا داؤ
Iqbal	اقبال
hi	سلام
hi	نمستے
loose	ڈھیلا
weigh	وزن
heavy	بھاری
measure	پیمائش
thunder	بادل کی گرج
thunder	گمک
thunder	کڑکنا
thunderbolt	بلجی کا کڑکا
thunder	رعد
thunder	دھاڑنا
delay	دیر
non-potable water	نا پینے والا پانی
warning	انتباہ
baggage claim	سامان کا کلیم
no bicycles	سائیکلیں ممنوع
no entry	داخلہ ممنوع
paralysis	سکتہ
internal combustion engine	اندرونی احتراقی محرکیہ
Gospel of Luke	لوقا کی انجیل
relatedness	رشتہ
related	متعلقہ
scrape	چھیلنا
scrape	کھرچنا
scrape	کریدنا
scrapping	کانٹ چھانٹ
scrapping	خراش
scrappy	پارہ پارہ
scratch	کھرچنا
scratch	کریدنا
scratch	نوچنا
relate	سنانا
relate	نسبت دینا
court	بار گاہ
desert	ریگستان
desert	صحرا
muscle	عضلہ
The Lord of the Rings	دی لارڈ آف دی رنگز
The Little Prince	ننہا شہزادہ
Arabian Nights	الف لیلہ
Arabian Nights	ہزار و ایک شب
One Thousand and One Nights	الف لیلہ
One Thousand and One Nights	ہزار و ایک شب
War and Peace	جنگ اور امن
oral sex	مکھابھگم
At-Tur	الطور
rooted	جما ہوا
root out	جڑ اکھیڑنا
rooted	پچی
rooted	مضبوط
root	جڑ ڈالنا
root	جزر
root	زمین کھودنا
root	اکھیڑنا
rooting	الٹ پلٹ
rooted	قائم
entry	اندراج
Philippine Peso	فلپائینی پیسہ
Philippine peso	فلپائینی پیسہ
Philippine pesos	فلپائینی پیسہ
Pakistani Rupee	پاکستانی روپیہ
Pakistani rupee	پاکستانی روپیہ
Pakistani rupees	پاکستانی روپیہ
five hundred	پانچ سو
Myanmar	میانمار
see	دیکھنا
high and dry	مجبور
high and low	امیر غریب
high	رفیع
high	اونچا
high	علوی
high and dry	بے اثرا
high	علی
high	عظیم
high	بلند
high	مرتفع
chill	ٹھنڈک
grayed	مٹیالا
disunite	کاٹنا
disunite	پھوٹ ڈالنا
disturbing	مخل
disturbing	پریشان کن
disturbing	تشویش ناک
disunion	فرقت
breathtaking	اشچریہ
wondrous	اشچریہ
paramount	فائق
testament	سند
test	آزمائش
test	تولنا
snip	کتریں
Snapshot Viewer	سنیپ شاٹ منظرکار
snapshot	سنیپ شاٹ
vexation	پریشانی
vexation	پیچ و تاب
vexation	کلفت
vexation	ملال
vexation	خفگی
vexation	کوفت
vexation	دکھ
vexation	غبار
vexation	چڑ چڑا پن
vexation	درد
Fatimah	فاطمہ علیہا السلام
Chad	چاڈ
Palestinian Territories	فلسطین
Palestinian Territories	فلسطینی خطے
Palestine	فلسطین
Palestine	فلسطینی خطے
Beed	بیڑ
formal logic	ریاضیاتی منطق
mathematical logic	ریاضیاتی منطق
symbolic logic	ریاضیاتی منطق
poll	سر
skyscraper	بلند ترین عمارات
follow	پیچھا کرنا
shine	چمک
stool	پا خانه
stool	باٹھروم
feces	پا خانه
feces	باٹھروم
excrement	پا خانه
excrement	باٹھروم
ASP	ASP
compassionate	شفیق
compel	مجبور کرنا
compatibility	موافقت
compassionate	درد مند
compassion	ترس
compassionate	خدا ترس
compassionate	درد ناک
compendium	مجموعہ
compelled	مجبور
Hasrat Mohani	حسرت موہانی
shaitan	شیطان
cracker	گولا
cracker	گپ
crackdown	سختی کرنا
crack	شگاف
cracking	بہت اچھا
crackers	سنکی
crackers	پاگل
cracker	پٹاخا
crackle	کڑکنا
cracking	ممتاز
Damascus	دمشق
Augustus	آگسٹس
O. P. Nayyar	او پی نیر
junk	کباڑ
inflexible	سخت
inflexible	کٹر
inflexibility	ہٹ
inflexibility	بے لچکی
inflexible	بے لچک
inflexible	بے لوچ
inflexibility	سختی
inflexibility	کڑا پن
bone	ہڈی
bone	استھ
bridge	برج
learn	سیکھنا
thunder	گرج
thunder	گڑگڑاہٹ
tiredness	تھکن
tired	شل
tired	تھکا ہوا
tired	چور
tired	ہلکان
tired	خستہ
tired	خستہ حال
effects	نتائج
effectual	کاری
effectual	کافی
effette	آبلہ پا
effette	شل
efficacious	فائدہ مند
effette	تھکا ہوا
Sudan	بلاد سودان
January	جنوری
February	فروری
March	مارچ
April	اپریل
May	مئ
June	جون
July	جولائی
August	اگست
September	ستمبر
October	اکتوبر
advertising	کاروبار اشتہار
night	رات
night	شب
lid	ڈھکن
male	نر
secret	چھپا
secret	خفیہ
secrecy	پوشیدگی
secrecy	راز
secret	پوشیدہ
secret	سر بستہ
secret	مخفی
secret	نہاں
secret	بھید
secret	راز
male	مذکر
Urdu Digest	اردو ڈائجسٹ
steam	بھاپ
wish	مطلب
Sculptor	سنگ‌تراش
Shield	سپر
Scutum	سپر
Sagittarius	قوس
Archer	قوس
Bull	ثور
Taurus	ثور
Telescope	دوربین
Telescopium	دوربین
London	لندن
caste	ذات
caste	ورناشرم
caste	جات
caste	کھیت
caste	کل
caste	نیات
empty	خالی
empty	ریتا
empty	خالی کرنا
objectionable	قابل اعتراض
oncoming bus	آتی ہوئی بس
Time Zone	منطقۂ وقت
dedicated	وقف شدہ
bus stop	بس اسٹاپ
edible	کھادیہ
Kuwait	کویت
villainy	شرارت
belch	ڈکارنا
sash	پٹکا
sash	کمر بند
sarcasm	طنز
sarcastic	اہانت آمیز
sarcastically	طنزاً
sardonic	جلی کٹی
sardonic	تمسخرانہ
sardonic	طنزیہ
sash	جلی
noticeably	نمایاں طور پر
notification	اعلان
notify	اعلان کرنا
lurch	انتظار
lurch	حملہ کرنے کا انتظار
girdle	گھیرا
girdle	حلقہ
gingerly	آہستہ قدمی سے
gingerly	بڑی احتیاط سے
gipsy	خانہ بدوش
giraffe	زرافہ
gird	گھیراؤ کرنا
gird	حلقے میں لینا
gird	کمر بند باندھنا
girder	شہ تیر
Ladakh	لداخ
fit	بیٹھنا
seat	بیٹھنا
sit down	بیٹھنا
take a seat	بیٹھنا
nonfeasance	ترک فعل
nonessential	غیر ضروری
nonplus	بوکھلا دینا
nonpareil	بے نظیر
nonhereditary	غیر وراثتی
nonhereditary	غیر موروثی
Lingala	لِنگَلا
exploration	انکشاف
exploratory	تحقیقاتی
explore	انکشاف کرنا
exploration	دریافت
exploitative	ناجائز فائدہ اٹھانے والا
explore	دریافت کرنا
exploit	کار نامہ
exploitation	ناجائز فائدہ (اٹھانا)
exploit	عمل
exploit	بہادری
prognosis	تشخیص
programme	پیش نامہ
progeny	پرجا
Student	طالب علم
Student	طالِب عِلم
Student	معلمہ
Student	چھاتر
academic	طالب علم
academic	طالِب عِلم
academic	معلمہ
academic	چھاتر
collegian	طالب علم
collegian	طالِب عِلم
collegian	معلمہ
collegian	چھاتر
disciple	طالب علم
disciple	طالِب عِلم
disciple	معلمہ
disciple	چھاتر
dropout	طالب علم
dropout	طالِب عِلم
dropout	معلمہ
dropout	چھاتر
educatee	طالب علم
educatee	طالِب عِلم
educatee	معلمہ
educatee	چھاتر
learner	طالب علم
learner	طالِب عِلم
learner	معلمہ
learner	چھاتر
pupil	طالب علم
pupil	طالِب عِلم
pupil	معلمہ
pupil	چھاتر
scholar	طالب علم
scholar	طالِب عِلم
scholar	معلمہ
scholar	چھاتر
schoolchild	طالب علم
schoolchild	طالِب عِلم
schoolchild	معلمہ
schoolchild	چھاتر
student	طالب علم
student	طالِب عِلم
student	معلمہ
student	چھاتر
undergraduate	طالب علم
undergraduate	طالِب عِلم
undergraduate	معلمہ
undergraduate	چھاتر
make-table query	جدول طلب بنائیں
sponsored site	کفالتی سائٹ
sponsorship	کفالت
split bar	پھوٹ بار
split box	پھوٹ خانہ
Kurdish	کردی
partnership	پارٹنرشپ
progress	آگے بڑھنا
progress	ترقی
progress	ترقی کرنا
progress	پر لگانا
progress	پیش رفت
progress	نشو نما
progress	تقدم
progress	راہ
progressive	ترقی یافتہ
progressive	ترقی پسند
nascence	نو خیزی
nascent	اپچتا ہوا
innovation	نئ راہ
innovation	تجدد
innovation	جددت
Richard Dannatt	رچرڈ ڈینٹ
Fernando de Noronha Standard Time	فرنانڈو ڈی نورنہا کا معیاری وقت
Norfolk Island Time	نارفوک آئلینڈ کا وقت
Fernando de Noronha Time	فرنانڈو ڈی نورنہا کا وقت
Novosibirsk Summer Time	نوووسیبرسک سمر ٹائم
Omsk Time	اومسک ٹائم
Novosibirsk Time	نوووسیبرسک ٹائم
Novosibirsk Standard Time	نوووسیبرسک سٹینڈرڈ ٹائم
Omsk Standard Time	اومسک سٹینڈرڈ ٹائم
Omsk Summer Time	اومسک سمر ٹائم
starve	بھوکا مرنا
startling	تعجب کا باعث
ice	یخ
ice	برف
feel	محسوس کرنا
AutoPlay	خود چلائیں
AutoMovie	خود کار فلم
mete	ناپ
mete	گھیر
mete	حد
meter	ناپ
mete	حصہ بانٹنا
mete	نپائ کرنا
mete	حد
mete	سرحد
meter	پیمانہ
sovereign	پادشاہ
sovereign	حکم ران
souvenir	نشانی
southern	جنوبی
sovereign	فرمان روا
souvenir	یاد گار
source	سر چشمہ
source	مخرج
south	جنوب
sourness	کھٹاس
fogey	بڈھا
tiptoe	چوری چھپے
cornfield	نجاری
wheatfield	نجاری
bathe	غسل کرنا
bath	غسل
bathe	نہلانا
bathe	نہانا
bate	گھٹانا
batch	اکٹھا کرنا
bate	روک دینا
bate	کم ہونا
bathroom	غسل خانہ
bathing	نہانا
diacritical mark	نشان شوشہ
kumquat	ایک طرح کا چھوٹا سنگترہ
kurbash	چمڑے کا کوڑا
kyle	تنگ آب نائے
kyphosis	کبڑا پن
kyphosis	کب
kyphotic	کوذ پشت
kyphotic	کبڑا
kyte	پیٹ
kyte	شکم
label	نشان
viscose	لزچ مائع
viscosity	چپچپاہٹ
viscerally	اندرونی طور پر
viscerate	پیٹ چیرنا
viscid	چپچپا
viscid	لیس دار
visage	وضع قطع
viscera	آنتیں
viscera	احشا
visceral	ذی حس
Lahore Marathon	میراتھن
worth	لیاقت
worth	قدر
worth	قیمت
worth	عمدگی
worst	بد ترین
worst	بیمار ترین
worth	بہا
worth	خوبی
worth	وصف
worthful	گران بہا
yammer	چیخ کر رونا
it	يہ
it	وہ
isthmus	خاکنائے
Judaism	یہودیت
Micronesian Region	مائکرونیشیائی علاقہ
found	یافتہ
foundation	اساس
foundation	اصل
foulness	کثافت
string of pearls	لڑ
stringed	تار دار
acknowledge	اعتراف کرنا
acknowledge	اقرار کرنا
acid	تیز
achievement	تکمیل
acid	تیزاب
acid	ترشہ
acid	حمذ
acidity	کھٹاس
acidly	ترشی سے
aggression	عداوت
grave	سنجیدہ
grave	سنگین
gratuity	تحفہ
gratuity	انعام
gratulatory	مبارک بادی کا
gratulate	مبارک باد دینا
gravamen	شکوہ
gravamen	گلہ
grave	تراشنا
grave	کندہ کرنا
exercise	ورزش
fog	دھند
fog	کہرا
wacky	آوارہ
resurgent	پھر سے
resurgence	تجدید
resume	دو بارہ شروع ہونا
result	پھل
result	پیدا وار
result	نتیجہ
resurgence	نئی زندگی
resurge	تجدید ہونا
resurge	پھر سر کھڑا کرنا
resume	پھر جاری ہونا
wacky	سودائ
wacky	سنکی
wackiness	خبط
Cepheus	ملتہب
Keel	قاعدہ
Carina	قاعدہ
Canes Venatici	سلوقیان
Hunting Dogs	سلوقیان
Canis Major	کلب اکبر
Greater Dog	کلب اکبر
Lesser Dog	کلب اصغر
Canis Minor	کلب اصغر
spring	بسنت
spring	بہار
Corsica	کورسیکا
indefensibility	بے عذری
japanese dolls	جاپانی گڑیاں
indefinitely	بلا تعین
overthrow	نیچا دکھانا
use	فائدہ
use	استعمال
use	فائدہ اٹھانا
use	استعمال کرنا
use	کام میں لانا
use	خرچ کرنا
usage	محاورہ
usage	رواج
usage	ترویج
use	عادت ڈالنا
dawn	پگاہ
dawn	اشراق
dawn	سحر
dawn	تڑکا
day	دن
dawn	اجالا
day	یوم
day	روز
bacon fed	موٹا
bacon fed	موٹى
difficult	پیچ دار
difficult	مشکل
Macedonia	مقدونیہ (FYROM)
Macedonia	مقدونیہ
Macedonia (FYROM)	مقدونیہ (FYROM)
Macedonia (FYROM)	مقدونیہ
Blocked Senders List	بلاک شدہ مرسل فہرست
Blocked Top-Level Domain List	بلاک شدہ اعلی سطح عمل داری فہرست
Block phrase	فقرہ براۓ مسدود
scheme	ڈھانچا
scheme	جتن
schedule	جدول میں شامل کرنا
scheduler	جدول کار
schedule	ترتیب کار
schedule	زمان بندی
schematic	تصوری
scheme	ڈول
schema	خاکہ
schematic	قیاسی
waning crescent moon	گھٹتا ہوا ہلال چاند
last quarter moon	آخری کوارٹر کا چاند
double cross	دھوک دہی
double cross	فریب کاری
double	دگنا کرنا
double	جوڑا بنانا
glory	بہار
glory	دھاک
glorify	شان بڑھانا
glorified	با عظمت
glorify	عظمت دینا
glorify	پوجنا
glorious	شان دار
glory	آب و رنگ
glorious	جلیل
glorious	سر بلند
knotlike	گرہ جیسا
disenfranchise	رائے دہی سے محروم کرنا
disengaged	فارغ
disengagement	فراغت
disentangle	سلجھانا
disenchantment	اذالہ سحر
disenchantment	طلسم ربائ
disencumber	رکاوٹ دور کرنا
disencumber	سر کا بوجھ اتارنا
disentangle	سلجھنا
disfigure	بد صورت بنانا
well appointed	دولت مند
tell	فرمانا
tell	سنانا
telling	پر زور
telling	شدید
telling	کار گر
telling	پر اثر
good for nothing	نکھٹ
window	کھڑکی
foundation	بنیاد
road	سڑک
difficulty	شاخ سانہ
difficulty	تکلیف
difficulty	مرحلہ
difficulty	مصیبت
difficulty	مشکل
difficulty	پیچ
difficulty	روگ
difficulty	سعوبت
inosculate	باہم ملانا
inosculate	جوڑنا
inosculation	جوڑ
Serb	صربی
whining	سسکی
whining	فریاد
whimsy	خیال
whimsy	خبط
whimsy	وہم
whimsy	ترنگ
whine	فریاد کرنا
whim wham	عجیب چیز
whine	سسک سسک کر رونا
whine	کراہنا
cache	چور خانہ
reverent	محترم
British Empire	سلطنت برطانیہ
reverential	تکریمی
reverential	با ادب
reverently	ادب سے
pie chart	پائی چارٹ
unnatural	پراگندہ
unnaturally	غیر فطری طور پر
partnership	رفاقت
gullet	تنگ کھائ
gullet	گلا
gully	خندق
gully	کھائ
gulp	ہڑپ کر جانا
gulp	بڑا سا نوالہ یا گھونٹ لینے کا عمل
gulp	جلدی جلدی بڑے بڑے نوالے نگلنا
unfettered	آزاد
Walt Disney	والٹ ڈزنی
Kyrgystani Som	کرغستانی سوم
Kyrgystani som	کرغستانی سوم
Kyrgystani soms	کرغستانی سوم
Cambodian Riel	کمبوڈیائی ریئل
Cambodian riels	کمبوڈیائی ریئل
leather	چمڑا
coax	چمکارنا
coax	پٹی پڑھانا
coast guard	ساحلی محافظ
coarsely	بے ادبانہ
puff	پھونک
puff	کش
puerile	چھچھورا
puerile	بچکانہ
peurility	چبلا پن
puerile	خام
pudendous	محجوب
pudenda	لب
pudent	محجوب
pudent	باشرم
horse	ترنگ
horse	کمیت
horse	مرکب
horse	رہ ور
horse	رخش
horror	خوف
liquid crystal display	مائع بلور ڈسپلے
linked object	مربوط آبجیکٹ
LinkAccess	لنک رسائی
ill gotten	حرام کا مال
ill grown	بنجر
ill luck	بدقسمتی
ill luck	شامت
ill favoured	بد وضع
ill favoured	کریہ ال منظر
ill feeling	لاگ
ill fortune	بدقسمتی
ill mannered	بد تمیز
ill mannered	بے ہودہ
encircle	حلقے میں لینا
encircle	گھیرنا
encircle	محاصرہ کرنا
enchantment	جادو
enchanted	مسحور
enchantment	طلسم
enchantment	سحر کاری
enclave	محصورہ
encircled	گھرا ہوا
sherbet	شربت
circumvent	عیاری کرنا
Qur’an	قرآن
knurl	مالا
hearsay	شنید
hearsay	قول
hearsay	افواہ
hearing	شنوائ
heart	آتما
hearse	جنازے کی گاڑی
hearsay	سنی سنائ بات
hearsay	شنیدہ
heart	فواد
heart	دل
Ghana	گھانا
incrustation	پرت
increment	افزائش
increment	اضافہ
cry	فریاد
fourscore	اسی
eighty	اسی
French	فرانسيسي
vital	زندگی کا سر چشمہ
vitality	دم
vitality	حال
vitality	جان
vital	اہم
vital	حیات بخش
vital	حیاتی
vital	ضروری
vitality	قوت حیات
vitality	روح
proceeds	حاصل
procerity	لمبائ
process	عمل
process	عمل درآمد
proceed	قدم بڑھانا
proceeding	کاروائ
proceeding	صادر
proceeding	روانہ
process	سبیل
process	صورت
accident	حادثہ
Hong Kong	ہانگ کانگ
insinuation	اشارہ
insinuation	کنایہ
custom	رواج
custom	رسم
custom	راہ
custom	عادت
customs	کروڑ گیری
custom	ضابطہ
custom	طریقہ
custom	سامان
customs	مراسم
customs	محصول
wet nurse	آیہ
etch	نقش کاری کرنا
et cetera	وغیرہ
estrangement	قطع تعلق
eternal	جاوید
eat	کھانا
Business Card	کاروبار کارڈ
onager	منجنیق
onager	گدھا
on site	جائے سقوع پر
on hand	در پیش
on foot	پیروں
on the other hand	البتہ
on behalf of	واستے
on behalf of	بدلے
on	پر
on	بی
chair	صوفہ
chesterfield	صوفہ
couch	صوفہ
davenport	صوفہ
divan	صوفہ
loungeroom	صوفہ
settee	صوفہ
sofa	صوفہ
counter espionage	ضد جاسوسی
waste	اللے تللے
waste	ضائع کرنا
waste	اسراف
waste	نقصان
waste	پھینکنا
waste	پا مال کرنا
waste	ویران بنانا
waste	تا راج کرنا
waste	اجاڑ
waste	ردی
latch	بلی
lastly	اخیرن
lasting	ثابت
lasting	قائم
lasting	مضبوط
lasting	پکا
lastly	بل آخر
lastly	انجام کار
lastly	آخرش
lastly	آخر کار
infanthood	طفولیت
infanthood	بچپن
infantlike	بچگانہ
infant	نننہا
infant	لال
infant	طفل
infant	شیر خوار
infanticide	قتل اطفال
infanticide	بچہ کشی
gawkiness	خبط
gay	البیلا
gawky	جھینپ
gawkiness	بے تکا پن
gawkiness	بے ڈھنگا پن
gawkiness	جھینپ
gawkish	سڑی
gawky	بے تکا
gawky	بے ڈھنگا
gawky	ہوننق
assistance	مدد
Filipino	فلیپینو
Estonian	اسٹونین
Mexican Spanish	میکسیکن ہسپانوی
refresh	بحال کرنا
refree	فیصل
refrainment	پرہیز
refrain	رکنا
refreshed	تازہ دم
refreshed	بحال
refresh	تازہ دم ہونا
refresh	تازہ کرنا
refreshing	تراوٹ بخش
refreshing	فرحت بخش
RSS	RSS
Bujumbura	بوجومبرا
quirk	پھبتی
eager	گرم
each	ہر ایک
eager	راغب
eager	مشتاق
eagerness	شوق
eager	ساعی
ear	گوش
eagle	چیل
earring	بالی
ear	کان
agricultural	زرعی
agricultural	زرعاتی
agreements	مراسم
agreement	وفاق
agreement	شرط
agreement	سمجھوتہ
agreement	راضی نامہ
promiscuous	اندھا دھند
face throwing a kiss	بوسہ اچھالتا چہرہ
smiling face with heart-shaped eyes	دل کی شکل کی آنکھوں والا مسکراتا چہرہ
kissing face with closed eyes	بند آنکھوں کے ساتھ بوسہ لیتا چہرہ
injustice	اندھیر
injury	ضر
injury	حرج
injury	گزند
injury	چوٹ
injury	آزار
injury	ضرب
injury	زخم
injury	نقصان
injury	جفا
Rohingya	روہنگیا
Haryana	ہاریانا
Haryana	ہریانہ
goon	بدھو
goon	بے وقوف
bugger	گانڈو
autumn	خزانو
autumn	پت جھڑ
automobile	گاڑی
autumn	خریف
autonomous	خود مخطار
autonomy	آزادی
automation	خود کاری
autonomous	آزاد
autumnal	خریفی
auxiliary	مدد گار
Melanesia	مالینیشیا
Polynesia	پولینیشیا
Eastern Asia	مشرقی ایشیا
Southern Asia	جنوبی ایشیا
Southeast Asia	جنوب مشرقی ایشیا
Southern Europe	جنوبی یورپ
Dominican peso	ڈومنیکن پیسو
kr.	DKK
Algerian Dinar	الجیریائی دینار
Dominican pesos	ڈومنیکن پیسو
Algerian dinar	الجیریائی دینار
Algerian dinars	الجیریائی دینار
yurt	خیمه
jar	جھر جھری دینا
jar	کھڑ کھڑانا
jar	صدمہ یا تکلیف سے ہل جانا
jar	بے سری آواز نکالنا
jar	مخالف ہونا
jar	نا اتفاقی
jar	جھنکارنا جھگڑا کرنا
jar	جھٹکا دے کر چل دینا
jape	پھبتی
jar	گونجنا
Occitan	آکیٹانی
sorbet	شربت
tomato	ٹماٹر
is	ہے
newness	تاذگی
new blood	نیا خون
newness	ایجاد
newness	اختراع
newness	جددت
newness	نیا پن
newbie	مبتدی
newbie	نیا نیا
newish	جدید انداز کا
newish	نئے طرز پر
jaw	جبڑا
curse	لعن
curse	پھٹکار
unanimity	اتحاد
unamiable	غیر خلیق
unambitious	غیر حوصلہ مند
unamiable	اکھڑ
unamiable	اکل کھرا
unamiable	بد مزاج
agile	پھرتیلا
agility	پھرتیلا پن
dialer	ڈائلر
explain	تشریح کرنا
describe	بیان کرنا
say nothing	خاموش
announce	اعلان کرنا
treasury	فوتہ خانہ
treasurer	خزانچی
treat	عمل کرا
treasury	خزانوہ
treat	برتنا
treat	برتاؤ کرنا
treat	مزے کروانا
treat	علاج کرنا
treat	تذکرہ کرنا
treat	سلوک کرنا
Outlook Web Access Light	آؤٹ لک ویب رسائی کی روشنی
Cocos (Keeling) Islands	کوکوس (کیلنگ) جزائر
Aswan Dam	اسوان بند
tree	شجر
nonfulfilment	غیر تکمیلی
understand	سمجھنا
replicate	چربہ اتارنا
replica	نقل
replica	چربہ
replete	پورا
replete	لبا لب
replete	جی بھر کر
replenished	مکمل
replenished	بھر پور
replenish	دو بارہ بھرنا
replacement	عوض
power	قوت
power	طاقت
power	شکتی
forest	جنگل
wood	جنگل
Boom	بُوم
Microsoft Windows	MS Windows
sponge	اسفنج
support	ہاتھ
thorn	کانٹا
solemnity	متانت
solemn	سنجیدہ
solely	محض
solely	فقط
solemn	متین
solely	سراسر
soldiery	سپاہی دستہ
soldier	سپاہی
solely	بلا شرکت
sole	یگانہ
Cyprus	قبرص
instrumental	آلہ کار
instrument	آلہ
happiness	خوشی
jasmine	چنبیلی
jasmine	چمیلی
scrotum	صفن
scrotum	صُفَن
thirty	تیس
meat	گوشت
zooarchaeology	حیوانی آثاریات
youngster	نوجوان
youngster	نو عمر
younker	بچہ
younker	لڑکا
youngster	بالا
youngster	چھوکرا
youngster	لڑکا
youngster	لونڈا
your	اپ کا
your	اپ کے
Jordan	اردن
sky	فلک
textbook	نصابی کتاب
mordacious	تیز
mordacious	کٹیلا
moribund	بے حرکت
morbidity	روگ
morbidity	نڈھال پن
morbidity	مردہ دلی
mordacious	دل دوز
mordacious	چبھتا ہوا
moribund	موت جیسا
moribund	جان بہ لب
house buildings	گھر کی عمارتیں
house with garden	باغ والا گھر
Cassia	موٹی دار چینی
cask	چوبی پیپا
cast	ڈالنا
Cassia	سینا
cast	ڈھالنا
cast	دے مارنا
cast	قرعہ پھینکنا
cast	پھینکنا
cast	سانچا
cast	قرعہ
old	کہن سال
old	کہن
old	کہنہ
old	دیرینہ
old	بزرگ
old	بڈھا
old	بوڑھا
old	پرا چین
urine	بول
Slovak	سلاواک
Slovakian	سلاواک
locative case	سلاواک
Singhalese	سنگھالی
Sinhala	سنگھالی
Sinhalese	سنگھالی
half mast	سر نگون
half mast	رنج و غم کی علامت
half moon	نیم ماشی
half moon	آدھا چند
half raw	کچا
half raw	ہرا
half sized	اددھا
half sister	سوتیلی بہن
half time	وقفہ
half staff	سر نگون پر چم
sock	موزا
moment	پل
screwdriver	مارتول
corrupted	مسخ
corrupted	خراب
corrupt	خراب ہونا
corrupt	فاسد
corrupt	خراب کرنا
corrupt	رشوت دینا
corrupt	رشوت خور
corrupt	تباہ
corrupt	حرام خور
corrupt	خراب
dissenting	اختلاف کرنے والا
dissenter	غیر مقلد
dissent	اختلاف ہونا
dissent	مخالف ہونا
dissension	فساد
dissension	پھوٹ
Fourteen Points of Jinnah	چودہ نکات
accusation	نالش
accusation	شکایت
accusatory	تہمتانہ
accuse	الزام تراشی کرنا
accuse	ملعون کرنا
accuse	نام لگانا
accuse	تہمت لگانا
accused	مدعا الیہ
accused	مدعا الیہا
accused	ملزم
Ram	حمل
Aries	حمل
Antlia	تلمبہ
Air Pump	تلمبہ
Eagle	عقاب
Aquila	عقاب
Water Bearer	دلو
Aquarius	دلو
asceticism	رہبانیت
meaning	معنی
meaning	مقصد
meaning	ارادہ
meaning	مفہوم
meaning	نیت
meaningful	اہم
meaning	مطلب
meaning	مراد
meaningful	پر معنی
meaningfulness	اہمیت
undeserved	غیر حق دار
undeserved	غیر مستحق
undeserved	نا حق
underwriter	بیمہ دار
underwriter	بیمہ کار
underwriter	بیمے والا
undeserving	بے لیاقت
undeserving	غیر مستحق
ding	گھنٹی بجتے رہنا
Southern Africa	جنوبی افریقہ کے علاقہ
New Zealand	نیوزی لینڈ
delicate	نازک
delicate	نفیس
delicious	مزے کا
keeker	جاسوس
keeker	آنکھ
kedge	حرکت دینا
kedge	چھوٹا لنگر
kedgeree	کھچڑی
detonate	دھماکا کرنا
detonate	پھاڑنا
detort	بگاڑنا
detort	مسخ کرنا
detestable	مکروہ
detestable	قابل نفرت
dethrone	تخت سے اتارنا
detinue	غلط حراستی
detour	لمبا راستہ
detour	پھیر دار
visit	سیر
birth	تولد
births	تولد
nascence	تولد
nascency	تولد
nativity	تولد
efface	مٹانا
effaced	مسخ
effacement	فن پزیری
effect	عمل
eel	بام مچھلی
eerie	عجیب و غریب
efface	مسخ کرنا
crab	گیگٹا
crab	کیکڑا
triumphantly	غلبہ سے
triumphant	غالب
trivial	ادنا
trivial	ہیچ
dedicate	انتساب کرنا
dedicate	معنون کرنا
decrepit	مردہ
decrepit	نا کارہ
decrepitude	خستہ حالی
decry	ذمہ دار ٹھیرانا
middle ages	قرون وسطا
middle	وسطا
middleman	واسطہ
intermarriage	ازدواج
marriage	ازدواج
wedding	ازدواج
jack of all trades	ہر فن مولا
jack o’ lantern	اگیا بیتال
jackleg	نا پختہ
jackleg	شوقیہ
